code,term
0501011J0,Benzylpenicillin sodium (Penicillin G)
0501011P0,Phenoxymethylpenicillin (Penicillin V)
0501012G0,Flucloxacillin sodium
0501012H0,Flucloxacillin magnesium
0501012U0,Temocillin sodium
0501013B0,Amoxicillin
0501013C0,Amoxicillin sodium
0501013E0,Ampicillin
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid)
0501013L0,Co-fluampicil(Flucloxacillin/ampicillin)
0501014N0,Ticarcillin with clavulanic acid
0501014S0,Piperacillin sodium/tazobactam sodium
0501015P0,Pivmecillinam hydrochloride
0603020T0,Prednisolone
0603020X0,Prednisone
