code,term
104041000119108,Fungal sinusitis
126664009,Exudative pharyngitis
13266007,Sphenoidal sinusitis
14969004,Catarrhal laryngitis
1532007,Viral pharyngitis
15805002,Acute sinusitis
18643000,Ethmoidal sinusitis
186963008,Vincent's angina - pharyngitis
195655000,Acute gangrenous pharyngitis
195656004,Acute phlegmonous pharyngitis
195657008,Acute ulcerative pharyngitis
195658003,Acute bacterial pharyngitis
195659006,Acute pneumococcal pharyngitis
195660001,Acute staphylococcal pharyngitis
195662009,Acute viral pharyngitis
195681001,Acute ulcerative laryngitis
195682008,Acute catarrhal laryngitis
195683003,Acute phlegmonous laryngitis
195684009,Acute laryngitis caused by Haemophilus influenzae
195685005,Acute pneumococcal laryngitis
195686006,Acute suppurative laryngitis
195709006,Pharyngolaryngitis
195790000,Pansinusitis
195923003,Influenza with laryngitis
195924009,Influenza with pharyngitis
232390009,Suppurative sinusitis with complications
232401004,Glandular fever pharyngitis
232402006,Meningococcal pharyngitis
232403001,Chlamydial pharyngitis
232426008,Acute simple laryngitis
232427004,Vincent's laryngitis
232428009,Acute membranous laryngitis
232429001,Acute subglottic laryngitis
276443001,Acute laryngitis and/or tracheitis
312422001,Infective pharyngitis
312423006,Infective laryngitis
31309002,Respiratory syncytial virus pharyngitis
32904004,Pneumococcal laryngitis
363746003,Acute pharyngitis
36971009,Sinusitis
371127003,Obstructive sinusitis
37426002,Ulcerative laryngitis
39271004,Ulcerative pharyngitis
405737000,Pharyngitis
408669002,Acute laryngitis with obstruction
41048006,Haemophilus influenzae laryngitis
431231008,Acute rhinosinusitis
444814009,Viral sinusitis
45913009,Laryngitis
5028002,Acute pansinusitis
51476001,Nasopharyngitis
55355000,Acute laryngopharyngitis
58031004,Suppurative pharyngitis
59221008,Parainfluenza virus rhinopharyngitis
6655004,Acute laryngitis
67832005,Acute ethmoidal sinusitis
68272006,Acute maxillary sinusitis
703470001,Bacterial sinusitis
721741006,Sinusitis caused by Streptococcus pneumoniae
721755003,Sinusitis caused by Haemophilus influenzae
725916003,Acute sinusitis caused by fungus
725917007,Acute sinusitis caused by virus
75498004,Acute bacterial sinusitis
76651006,Pneumococcal pharyngitis
77919000,Acute sphenoidal sinusitis
78430008,Adenoviral pharyngitis
78737005,Frontal sinusitis
78911000,Parainfluenza virus pharyngitis
82228008,Staphylococcal pharyngitis
82690000,Suppurative laryngitis
849571000000102,Acute bacterial laryngitis
85083002,Streptococcal laryngitis
85832003,Parainfluenza virus laryngitis
88348008,Maxillary sinusitis
897656009,Rhinosinusitis
91038008,Acute frontal sinusitis
95885008,Mycoplasmal pharyngitis
