code,term
10506611000001103,Symbicort 400/12 Turbohaler (Waymade Healthcare Plc) (AMP)
12906411000001100,Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd) (AMP)
12911011000001100,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
13206611000001109,Symbicort 400/12 Turbohaler (Dowelhurst Ltd) (AMP)
13958611000001104,Symbicort 200/6 Turbohaler (DE Pharmaceuticals) (AMP)
13959211000001106,Symbicort 400/12 Turbohaler (DE Pharmaceuticals) (AMP)
14620711000001109,Symbicort 200/6 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14621111000001102,Symbicort 400/12 Turbohaler (Sigma Pharmaceuticals Plc) (AMP)
14705211000001107,Seretide 500 Accuhaler (Sigma Pharmaceuticals Plc) (AMP)
16241111000001108,Seretide 500 Accuhaler (Lexon (UK) Ltd) (AMP)
17440511000001106,Seretide 500 Accuhaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457611000001107,Symbicort 200/6 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
17457811000001106,Symbicort 400/12 Turbohaler (Mawdsley-Brooks & Company Ltd) (AMP)
18185411000001102,Seretide 500 Accuhaler (Necessity Supplies Ltd) (AMP)
18195311000001108,Symbicort 200/6 Turbohaler (Necessity Supplies Ltd) (AMP)
18195511000001102,Symbicort 400/12 Turbohaler (Necessity Supplies Ltd) (AMP)
18611411000001104,Seretide 500 Accuhaler (DE Pharmaceuticals) (AMP)
23622011000001107,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd) (AMP)
23661411000001103,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (VMP)
25254111000001105,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
26112111000001106,Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
26148711000001101,Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (VMP)
30273211000001106,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler (Waymade Healthcare Plc) (AMP)
30950311000001106,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd) (AMP)
31064811000001101,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (A A H Pharmaceuticals Ltd) (AMP)
31457411000001109,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (J M McGill Ltd) (AMP)
3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd) (AMP)
32333911000001104,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (Colorama Pharmaceuticals Ltd) (AMP)
32684911000001100,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (DE Pharmaceuticals) (AMP)
32926011000001100,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd) (AMP)
3294611000001104,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd) (AMP)
32960711000001105,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
33679711000001103,Aerivio Spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
34681611000001100,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd) (AMP)
34683311000001106,Generic Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler CFC free (VMP)
34812111000001106,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
34950311000001108,Fobumix Easyhaler 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
34952211000001104,Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd) (AMP)
34955111000001103,Generic Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (VMP)
35515311000001106,Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd) (AMP)
36604711000001102,Stalpex 50micrograms/dose / 500micrograms/dose dry powder inhaler (Glenmark Pharmaceuticals Europe Ltd) (AMP)
36889311000001107,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
36889511000001101,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Pharmaram Ltd) (AMP)
37397211000001108,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Mawdsley-Brooks & Company Ltd) (AMP)
