code,term
1066231000000103,Chronic obstructive pulmonary disease monitoring email invitation
1066281000000104,Chronic obstructive pulmonary disease monitoring short message service text message invitation
1066821000000101,Chronic obstructive pulmonary disease monitoring short message service text message first invitation
1066841000000108,Chronic obstructive pulmonary disease monitoring short message service text message second invitation
1066851000000106,Chronic obstructive pulmonary disease monitoring short message service text message third invitation
1109921000000106,Quality and Outcomes Framework quality indicator-related care invitation
1110861000000102,Quality and Outcomes Framework chronic obstructive pulmonary disease quality indicator-related care invitation
143371000000104,Quality and Outcomes Framework chronic obstructive pulmonary disease quality indicator-related care invitation using preferred method of communication
711431000000109,Chronic obstructive pulmonary disease monitoring invitation
716241000000106,Chronic obstructive pulmonary disease monitoring first letter
716281000000103,Chronic obstructive pulmonary disease monitoring verbal invitation
716901000000101,Chronic obstructive pulmonary disease monitoring telephone invitation
717021000000106,Chronic obstructive pulmonary disease monitoring second letter
717521000000104,Chronic obstructive pulmonary disease monitoring third letter
