code,term
10674791000119101,Acute exacerbation of intermittent allergic asthma
10674991000119104,Intermittent allergic asthma
10675871000119106,Mild persistent allergic asthma
10675911000119109,Acute severe exacerbation of mild persistent allergic asthma
10675991000119100,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis
10676031000119106,Mild persistent allergic asthma controlled
10676071000119109,Mild persistent asthma controlled
10676111000119102,Mild persistent asthma controlled co-occurrent with allergic rhinitis
10676151000119101,Mild persistent allergic asthma uncontrolled
10676191000119106,Mild persistent asthma uncontrolled
125011000119100,Mild persistent asthma co-occurrent with allergic rhinitis
125021000119107,Intermittent asthma co-occurrent with allergic rhinitis
135181000119109,Acute exacerbation of mild persistent asthma
1741000119102,Intermittent asthma uncontrolled
370218001,Mild asthma
425969006,Exacerbation of intermittent asthma
426979002,Mild persistent asthma
427603009,Intermittent asthma
427679007,Mild intermittent asthma
641000119106,Intermittent asthma well controlled
707445000,Exacerbation of mild persistent asthma
707511009,Uncomplicated mild persistent asthma
707981009,Acute severe exacerbation of mild persistent asthma
