code,term,id,type,bnf_code
3179811000001108,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd),3179811000001108,amp,0302000C0AAACAC
3180011000001102,Beclometasone 250micrograms/dose inhaler (Mylan),3180011000001102,amp,0302000C0AAACAC
3180911000001103,Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd),3180911000001103,amp,0302000C0AAACAC
4774011000001109,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd),4774011000001109,amp,0302000C0AAACAC
7379311000001100,Beclometasone 250micrograms/dose inhaler (Kent Pharmaceuticals Ltd),7379311000001100,amp,0302000C0AAACAC
11400811000001102,Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd),11400811000001102,amp,0302000C0AAACAC
17833911000001100,Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd),17833911000001100,amp,0302000C0AAACAC
3180211000001107,Becloforte 250micrograms/dose inhaler (GlaxoSmithKline UK Ltd),3180211000001107,amp,0302000C0BBAAAC
3182411000001107,AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd),3182411000001107,amp,0302000C0BEABAU
3180611000001109,Beclazone 250 inhaler (Teva UK Ltd),3180611000001109,amp,0302000C0BFACAC
3182611000001105,Beclazone 250 Easi-Breathe inhaler (Teva UK Ltd),3182611000001105,amp,0302000C0BFAFAU
3174111000001102,Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd),3174111000001102,amp,0302000C0BIAFBK
10619611000001102,Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd),10619611000001102,amp,0302000C0BPADBW
31063411000001101,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),31063411000001101,amp,0302000C0BQABBZ
31063111000001106,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd),31063111000001106,amp,0302000C0BRABCA
36603811000001107,Soprobec 250micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),36603811000001107,amp,0302000C0BTADBW
3228711000001106,Pulmicort 400 Turbohaler (AstraZeneca UK Ltd),3228711000001106,amp,0302000K0BBAIAH
4373811000001100,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd),4373811000001100,amp,0302000K0BDACAU
10074411000001100,Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),10074411000001100,amp,0302000K0BGACAH
25254711000001106,DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd),25254711000001106,amp,0302000K0BHABAU
34812111000001106,Fobumix Easyhaler 320micrograms/dose / 9micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd),34812111000001106,amp,0302000K0BIAAAU
31064811000001101,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (A A H Pharmaceuticals Ltd),31064811000001101,amp,0302000N0AAAZAZ
3103511000001100,Flixotide 250microgram disks (GlaxoSmithKline UK Ltd),3103511000001100,amp,0302000N0BBAFAF
3185211000001103,Flixotide 500micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),3185211000001103,amp,0302000N0BBAUAU
2831211000001109,Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),2831211000001109,amp,0302000N0BBBABC
3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),3188311000001102,amp,0302000N0BCACAZ
539811000001106,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd),539811000001106,amp,0302000N0BCAFBG
