code,term
4981000,Panacinar emphysema (disorder)
7457009,Chronic tracheitis (disorder)
13645005,Chronic obstructive lung disease (disorder)
16003001,Giant bullous emphysema (disorder)
31898008,Paraseptal emphysema (disorder)
33325001,Compensatory emphysema (disorder)
40100001,Obliterative bronchiolitis (disorder)
45145000,Unilateral emphysema (situation)
49691004,Occupational bronchitis (disorder)
52571006,Chronic tracheobronchitis (disorder)
61937009,Simple chronic bronchitis (disorder)
63480004,Chronic bronchitis (disorder)
68328006,Centriacinar emphysema (disorder)
74417001,Mucopurulent chronic bronchitis (disorder)
77690003,Interstitial emphysema of lung (disorder)
83271005,Chronic laryngotracheitis (disorder)
84409004,Fetid chronic bronchitis (disorder)
87433001,Pulmonary emphysema (disorder)
89099002,Chronic allergic bronchitis (disorder)
89549007,Catarrhal bronchitis (disorder)
135836000,End stage chronic obstructive airways disease (disorder)
185086009,Chronic obstructive bronchitis (disorder)
195949008,Chronic asthmatic bronchitis (disorder)
195951007,Acute exacerbation of chronic obstructive airways disease (disorder)
195953005,Mixed simple and mucopurulent chronic bronchitis (disorder)
195957006,Chronic bullous emphysema (disorder)
195958001,Segmental bullous emphysema (disorder)
195959009,Zonal bullous emphysema (disorder)
195963002,Acute vesicular emphysema (disorder)
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection (disorder)
196026004,Chronic emphysema caused by chemical fumes (disorder)
233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)
233675009,Toxic emphysema (disorder)
233677001,Scar emphysema (disorder)
266355005,Bullous emphysema with collapse (disorder)
266356006,Atrophic (senile) emphysema (disorder)
285381006,Acute infective exacerbation of chronic obstructive airways disease (disorder)
313296004,Mild chronic obstructive pulmonary disease (disorder)
313297008,Moderate chronic obstructive pulmonary disease (disorder)
313299006,Severe chronic obstructive pulmonary disease (disorder)
360470001,Chronic mucus hypersecretion (disorder)
425748003,Acute exacerbation of chronic bronchitis (disorder)
293991000000106,Very severe chronic obstructive pulmonary disease (disorder)
847091000000104,Acute non-infective exacerbation of chronic obstructive pulmonary disease (disorder)
